State,Name,Total Population,Median Age,Median Household Income Per Year (Dollars),Income Per Capita Per Year (Dollars),Percentage of People Living in Poverty,Percentage of Unemployed,Percentage of People Who Completed No Schooling (25+),Percentage of People with High School Degree (25+),Percentage of People with GED (25+),Percentage of People with Associates Degree (25+),Percentage of People with Bachelors Degree (25+),Percentage of People with Masters Degree (25+),Percentage of People with Professional Degree (25+),Percentage of People with Doctoral Degree (25+),Percentage of People of European American Origin,Percentage of People of African American Origin,Percentage of People of Native American Origin,Percentage of People of Asian Origin,Percentage of People of Pacific Islander Origin,Percentage of People of Hispanic Origin,Percentage of People of Multiethnic Origin
01,Alabama,4799277.0,38.1,43253.0,23680.0,18.140878303127742,5.040967629082464,0.848273604545018,17.050797443031524,3.6133567618622555,4.927263002323058,9.551292830149208,3.914172905627243,0.9511015930107806,0.6417841687404165,69.30602255298038,26.298794589268343,0.5267043348404353,1.1841575303946825,0.028900186423913433,3.9233826261747344,1.5032472599518636
02,Alaska,720316.0,33.6,70760.0,32651.0,9.650486730823694,4.572854136240205,0.3881629729174418,14.05869090787932,3.1641668378878154,5.046535131803264,11.16829280482455,4.440828747383093,1.0316305621421709,0.7035800954025734,66.86482043991803,3.4752802936488982,14.059523875632362,5.442055986539241,1.1124284341872177,5.946279133047162,7.879458459898156
04,Arizona,6479703.0,36.3,49774.0,25358.0,17.46840866008828,4.882322538548449,0.8089722630805765,13.32175255563411,2.605119401305893,5.409244837301957,11.061216848982122,4.583219323478252,1.0775030892619615,0.7439075525529488,79.19713295501353,4.167274333406948,4.428490009495806,2.823478174848446,0.1945613865326852,29.87711010828737,2.9517556591714156
05,Arkansas,2933369.0,37.5,40768.0,22170.0,18.658682218295755,4.132961110586496,0.7825132126234374,19.143244508277,4.015757990215346,4.05806429399097,8.766609315091282,3.1859612616073876,0.7909335647850645,0.5285049374967826,78.25288942509448,15.507868256601881,0.6117539252647723,1.287802523310228,0.19421354763072768,6.554374850214889,1.987714467562724
06,California,37659181.0,35.4,61094.0,29527.0,15.628106729139969,5.758662144033351,1.5883006059000595,12.015911870202382,1.4364093579199186,5.0344111307147115,12.622276623594125,4.83633725332476,1.5027066042673631,0.9568901671016159,62.314597335507635,5.988903476153664,0.760497154731007,13.291938027011263,0.3884577309315356,37.893402408299856,4.321280911552485
08,Colorado,5119329.0,36.1,58433.0,31109.0,12.909387148198523,4.526784662599336,0.5668320985035343,12.132410321743338,2.5225766892497044,5.409986347820193,15.615933260003413,6.461139731398393,1.422061367808164,1.0123592369234329,84.01679204442614,3.980111456013083,0.9606141742404132,2.768312019016555,0.12792692167274267,20.78414964148622,3.4191004328887638
09,Connecticut,3583561.0,40.2,69461.0,37892.0,9.888153152688066,5.321773509645852,0.6585628094512692,16.75196822378634,2.178084871444912,4.9837856813376415,13.90025173284339,7.915645917566354,1.9741257369415506,1.0712807735099248,77.92678846543983,10.09241924443312,0.24472863724100133,3.954418523920759,0.03638838574256166,13.867184066351879,2.626186633909678
10,Delaware,908446.0,38.9,59878.0,29819.0,11.407722638439708,4.535987829766436,0.7002067266518869,19.029859782529726,2.3117499554183736,4.8923106051432885,11.57008782029972,5.557072187009465,1.2329846793315178,1.0727109811700422,69.9517637812264,21.461264621122226,0.33133504908382005,3.3487956356239112,0.06241427668788239,8.377713149708404,2.53906121002239
11,District of Columbia,619371.0,33.8,65830.0,45290.0,17.630789946574833,6.295741970482957,0.777885952038439,11.157286989542618,1.91452295958319,2.0921224920120576,15.764541768988217,12.053680265947227,5.834467548529072,2.7201790203286884,40.06338688766506,50.13634800466925,0.32129369957586,3.5269652599169157,0.0376188100508419,9.603129626669638,2.3357567596803857
12,Florida,19091156.0,41.0,46956.0,26236.0,15.990686996638653,5.741024797031673,0.9623461250853538,17.810812503967803,2.9539175102859145,6.223200941839247,11.806183973353946,4.47849255435344,1.3891144150726127,0.7426527759764783,76.31031352946883,16.008208198602535,0.3058484253127469,2.4928034740274505,0.05896971351551472,22.88976110194689,2.2547351244733425
