,week,state,state_name,disease,cases,incidence_per_capita
0,192801,AL,ALABAMA,POLIO,0,0.0
1,192801,AR,ARKANSAS,POLIO,0,0.0
2,192801,AZ,ARIZONA,POLIO,0,0.0
3,192801,CA,CALIFORNIA,POLIO,9,0.17
4,192801,CO,COLORADO,POLIO,4,0.39
5,192801,CT,CONNECTICUT,POLIO,0,0.0
6,192801,DE,DELAWARE,POLIO,0,0.0
7,192801,FL,FLORIDA,POLIO,0,0.0
8,192801,GA,GEORGIA,POLIO,1,0.03
9,192801,IA,IOWA,POLIO,2,0.08
10,192801,ID,IDAHO,POLIO,0,0.0
11,192801,IL,ILLINOIS,POLIO,2,0.03
12,192801,IN,INDIANA,POLIO,1,0.03
13,192801,KS,KANSAS,POLIO,0,0.0
14,192801,KY,KENTUCKY,POLIO,0,0.0
15,192801,LA,LOUISIANA,POLIO,0,0.0
16,192801,MA,MASSACHUSETTS,POLIO,6,0.14
17,192801,MD,MARYLAND,POLIO,1,0.06
18,192801,ME,MAINE,POLIO,0,0.0
19,192801,MI,MICHIGAN,POLIO,2,0.04
20,192801,MN,MINNESOTA,POLIO,0,0.0
21,192801,MO,MISSOURI,POLIO,1,0.03
22,192801,MS,MISSISSIPPI,POLIO,0,0.0
23,192801,MT,MONTANA,POLIO,1,0.18
24,192801,NC,NORTH CAROLINA,POLIO,0,0.0
25,192801,NE,NEBRASKA,POLIO,1,0.07
26,192801,NJ,NEW JERSEY,POLIO,3,0.08
27,192801,NM,NEW MEXICO,POLIO,0,0.0
28,192801,NY,NEW YORK,POLIO,9,0.08
29,192801,OH,OHIO,POLIO,1,0.02
30,192801,OK,OKLAHOMA,POLIO,0,0.0
31,192801,OR,OREGON,POLIO,6,0.64
32,192801,PA,PENNSYLVANIA,POLIO,0,0.0
33,192801,RI,RHODE ISLAND,POLIO,0,0.0
34,192801,SC,SOUTH CAROLINA,POLIO,1,0.06
35,192801,SD,SOUTH DAKOTA,POLIO,0,0.0
36,192801,TN,TENNESSEE,POLIO,1,0.04
