,state,State Name,disease,Number of Hepatitis Cases,"Hepatitis Incidence Per 100,000 People",year,number_week
0,AL,ALABAMA,HEPATITIS A,5,0.14,1966,01
1,AR,ARKANSAS,HEPATITIS A,11,0.58,1966,01
2,AZ,ARIZONA,HEPATITIS A,6,0.37,1966,01
3,CA,CALIFORNIA,HEPATITIS A,89,0.47,1966,01
4,CO,COLORADO,HEPATITIS A,1,0.05,1966,01
5,CT,CONNECTICUT,HEPATITIS A,9,0.31,1966,01
6,DE,DELAWARE,HEPATITIS A,3,0.58,1966,01
7,FL,FLORIDA,HEPATITIS A,7,0.11,1966,01
8,GA,GEORGIA,HEPATITIS A,4,0.09,1966,01
9,HI,HAWAII,HEPATITIS A,3,0.42,1966,01
10,IA,IOWA,HEPATITIS A,12,0.43,1966,01
11,ID,IDAHO,HEPATITIS A,2,0.29,1966,01
12,IL,ILLINOIS,HEPATITIS A,6,0.06,1966,01
13,IN,INDIANA,HEPATITIS A,2,0.04,1966,01
14,KS,KANSAS,HEPATITIS A,6,0.27,1966,01
15,KY,KENTUCKY,HEPATITIS A,26,0.83,1966,01
16,LA,LOUISIANA,HEPATITIS A,1,0.03,1966,01
17,MA,MASSACHUSETTS,HEPATITIS A,10,0.18,1966,01
18,MD,MARYLAND,HEPATITIS A,9,0.24,1966,01
19,ME,MAINE,HEPATITIS A,6,0.6,1966,01
20,MI,MICHIGAN,HEPATITIS A,84,0.99,1966,01
21,MN,MINNESOTA,HEPATITIS A,3,0.08,1966,01
22,MO,MISSOURI,HEPATITIS A,5,0.11,1966,01
23,MS,MISSISSIPPI,HEPATITIS A,1,0.04,1966,01
24,MT,MONTANA,HEPATITIS A,2,0.28,1966,01
25,NC,NORTH CAROLINA,HEPATITIS A,8,0.16,1966,01
26,ND,NORTH DAKOTA,HEPATITIS A,1,0.15,1966,01
27,NH,NEW HAMPSHIRE,HEPATITIS A,3,0.44,1966,01
28,NJ,NEW JERSEY,HEPATITIS A,21,0.31,1966,01
29,NM,NEW MEXICO,HEPATITIS A,13,1.29,1966,01
30,NV,NEVADA,HEPATITIS A,3,0.67,1966,01
31,OH,OHIO,HEPATITIS A,40,0.39,1966,01
32,OR,OREGON,HEPATITIS A,14,0.71,1966,01
33,PA,PENNSYLVANIA,HEPATITIS A,26,0.22,1966,01
34,RI,RHODE ISLAND,HEPATITIS A,6,0.67,1966,01
35,SC,SOUTH CAROLINA,HEPATITIS A,4,0.16,1966,01
36,TN,TENNESSEE,HEPATITIS A,93,2.43,1966,01
37,TX,TEXAS,HEPATITIS A,62,0.59,1966,01
38,UT,UTAH,HEPATITIS A,1,0.1,1966,01
39,VA,VIRGINIA,HEPATITIS A,11,0.25,1966,01
40,WA,WASHINGTON,HEPATITIS A,5,0.16,1966,01
41,WI,WISCONSIN,HEPATITIS A,15,0.35,1966,01
42,WV,WEST VIRGINIA,HEPATITIS A,1,0.06,1966,01
43,WY,WYOMING,HEPATITIS A,1,0.31,1966,01
44,AK,ALASKA,HEPATITIS A,6,2.21,1966,02
45,AL,ALABAMA,HEPATITIS A,3,0.09,1966,02
46,AR,ARKANSAS,HEPATITIS A,6,0.32,1966,02
47,AZ,ARIZONA,HEPATITIS A,25,1.55,1966,02
48,CA,CALIFORNIA,HEPATITIS A,122,0.65,1966,02
49,CO,COLORADO,HEPATITIS A,3,0.15,1966,02
50,CT,CONNECTICUT,HEPATITIS A,8,0.28,1966,02
51,DE,DELAWARE,HEPATITIS A,3,0.58,1966,02
52,FL,FLORIDA,HEPATITIS A,11,0.18,1966,02
53,HI,HAWAII,HEPATITIS A,1,0.14,1966,02
54,IA,IOWA,HEPATITIS A,5,0.18,1966,02
55,ID,IDAHO,HEPATITIS A,2,0.29,1966,02
56,IL,ILLINOIS,HEPATITIS A,28,0.26,1966,02
57,IN,INDIANA,HEPATITIS A,8,0.16,1966,02
58,KS,KANSAS,HEPATITIS A,4,0.18,1966,02
59,KY,KENTUCKY,HEPATITIS A,23,0.73,1966,02
60,LA,LOUISIANA,HEPATITIS A,8,0.23,1966,02
61,MA,MASSACHUSETTS,HEPATITIS A,10,0.18,1966,02
