,state,State Name,disease,Number of Mumps Cases,"Mumps Incidence Per 100,000 People",year,number_week
0,AK,ALASKA,MUMPS,7,2.46,1968,01
1,AL,ALABAMA,MUMPS,39,1.13,1968,01
2,AZ,ARIZONA,MUMPS,19,1.13,1968,01
3,CA,CALIFORNIA,MUMPS,247,1.27,1968,01
4,DC,DISTRICT OF COLUMBIA,MUMPS,1,0.13,1968,01
5,DE,DELAWARE,MUMPS,9,1.69,1968,01
6,FL,FLORIDA,MUMPS,36,0.56,1968,01
7,HI,HAWAII,MUMPS,13,1.77,1968,01
8,IA,IOWA,MUMPS,351,12.52,1968,01
9,ID,IDAHO,MUMPS,3,0.43,1968,01
10,IL,ILLINOIS,MUMPS,72,0.65,1968,01
11,IN,INDIANA,MUMPS,57,1.12,1968,01
12,KY,KENTUCKY,MUMPS,107,3.35,1968,01
13,MA,MASSACHUSETTS,MUMPS,212,3.77,1968,01
14,MD,MARYLAND,MUMPS,8,0.21,1968,01
15,ME,MAINE,MUMPS,25,2.52,1968,01
16,MI,MICHIGAN,MUMPS,176,2.02,1968,01
17,MN,MINNESOTA,MUMPS,2,0.05,1968,01
18,MO,MISSOURI,MUMPS,12,0.26,1968,01
19,MS,MISSISSIPPI,MUMPS,10,0.45,1968,01
20,MT,MONTANA,MUMPS,3,0.43,1968,01
21,ND,NORTH DAKOTA,MUMPS,37,5.96,1968,01
22,NE,NEBRASKA,MUMPS,15,1.02,1968,01
23,NJ,NEW JERSEY,MUMPS,195,2.78,1968,01
24,NM,NEW MEXICO,MUMPS,5,0.5,1968,01
25,OH,OHIO,MUMPS,152,1.45,1968,01
26,OK,OKLAHOMA,MUMPS,1,0.04,1968,01
27,OR,OREGON,MUMPS,15,0.75,1968,01
28,RI,RHODE ISLAND,MUMPS,80,8.68,1968,01
29,SC,SOUTH CAROLINA,MUMPS,4,0.16,1968,01
30,TN,TENNESSEE,MUMPS,17,0.44,1968,01
31,TX,TEXAS,MUMPS,81,0.75,1968,01
32,UT,UTAH,MUMPS,2,0.19,1968,01
33,VA,VIRGINIA,MUMPS,22,0.48,1968,01
34,VT,VERMONT,MUMPS,77,17.91,1968,01
35,WA,WASHINGTON,MUMPS,234,7.16,1968,01
36,WV,WEST VIRGINIA,MUMPS,129,7.32,1968,01
37,WY,WYOMING,MUMPS,23,7.1,1968,01
38,AK,ALASKA,MUMPS,7,2.46,1968,02
39,AL,ALABAMA,MUMPS,14,0.41,1968,02
40,AZ,ARIZONA,MUMPS,38,2.26,1968,02
41,CA,CALIFORNIA,MUMPS,480,2.47,1968,02
42,CT,CONNECTICUT,MUMPS,144,4.86,1968,02
43,DC,DISTRICT OF COLUMBIA,MUMPS,15,1.93,1968,02
44,DE,DELAWARE,MUMPS,1,0.19,1968,02
45,FL,FLORIDA,MUMPS,30,0.47,1968,02
46,HI,HAWAII,MUMPS,49,6.68,1968,02
47,ID,IDAHO,MUMPS,31,4.46,1968,02
48,IL,ILLINOIS,MUMPS,68,0.62,1968,02
49,IN,INDIANA,MUMPS,149,2.93,1968,02
50,KS,KANSAS,MUMPS,37,1.67,1968,02
51,KY,KENTUCKY,MUMPS,160,5.01,1968,02
52,MA,MASSACHUSETTS,MUMPS,271,4.82,1968,02
53,MD,MARYLAND,MUMPS,51,1.34,1968,02
54,ME,MAINE,MUMPS,37,3.72,1968,02
55,MI,MICHIGAN,MUMPS,693,7.97,1968,02
56,MN,MINNESOTA,MUMPS,5,0.14,1968,02
57,MO,MISSOURI,MUMPS,4,0.09,1968,02
58,MS,MISSISSIPPI,MUMPS,27,1.22,1968,02
59,MT,MONTANA,MUMPS,15,2.14,1968,02
60,ND,NORTH DAKOTA,MUMPS,23,3.7,1968,02
61,NE,NEBRASKA,MUMPS,39,2.66,1968,02
62,NH,NEW HAMPSHIRE,MUMPS,10,1.41,1968,02
63,NJ,NEW JERSEY,MUMPS,145,2.07,1968,02
64,NM,NEW MEXICO,MUMPS,16,1.61,1968,02
65,OH,OHIO,MUMPS,56,0.53,1968,02
66,OK,OKLAHOMA,MUMPS,4,0.16,1968,02
67,OR,OREGON,MUMPS,33,1.65,1968,02
68,RI,RHODE ISLAND,MUMPS,50,5.42,1968,02
69,SC,SOUTH CAROLINA,MUMPS,4,0.16,1968,02
70,TN,TENNESSEE,MUMPS,120,3.09,1968,02
