,state,State Name,disease,Number of Polio Cases,"Polio Incidence Per 100,000 People",year,number_week
0,AL,ALABAMA,POLIO,0,0.0,1928,01
1,AR,ARKANSAS,POLIO,0,0.0,1928,01
2,AZ,ARIZONA,POLIO,0,0.0,1928,01
3,CA,CALIFORNIA,POLIO,9,0.17,1928,01
4,CO,COLORADO,POLIO,4,0.39,1928,01
5,CT,CONNECTICUT,POLIO,0,0.0,1928,01
6,DE,DELAWARE,POLIO,0,0.0,1928,01
7,FL,FLORIDA,POLIO,0,0.0,1928,01
8,GA,GEORGIA,POLIO,1,0.03,1928,01
9,IA,IOWA,POLIO,2,0.08,1928,01
10,ID,IDAHO,POLIO,0,0.0,1928,01
11,IL,ILLINOIS,POLIO,2,0.03,1928,01
12,IN,INDIANA,POLIO,1,0.03,1928,01
13,KS,KANSAS,POLIO,0,0.0,1928,01
14,KY,KENTUCKY,POLIO,0,0.0,1928,01
15,LA,LOUISIANA,POLIO,0,0.0,1928,01
16,MA,MASSACHUSETTS,POLIO,6,0.14,1928,01
17,MD,MARYLAND,POLIO,1,0.06,1928,01
18,ME,MAINE,POLIO,0,0.0,1928,01
19,MI,MICHIGAN,POLIO,2,0.04,1928,01
20,MN,MINNESOTA,POLIO,0,0.0,1928,01
21,MO,MISSOURI,POLIO,1,0.03,1928,01
22,MS,MISSISSIPPI,POLIO,0,0.0,1928,01
23,MT,MONTANA,POLIO,1,0.18,1928,01
24,NC,NORTH CAROLINA,POLIO,0,0.0,1928,01
25,NE,NEBRASKA,POLIO,1,0.07,1928,01
26,NJ,NEW JERSEY,POLIO,3,0.08,1928,01
27,NM,NEW MEXICO,POLIO,0,0.0,1928,01
28,NY,NEW YORK,POLIO,9,0.08,1928,01
29,OH,OHIO,POLIO,1,0.02,1928,01
30,OK,OKLAHOMA,POLIO,0,0.0,1928,01
31,OR,OREGON,POLIO,6,0.64,1928,01
32,PA,PENNSYLVANIA,POLIO,0,0.0,1928,01
33,RI,RHODE ISLAND,POLIO,0,0.0,1928,01
34,SC,SOUTH CAROLINA,POLIO,1,0.06,1928,01
35,SD,SOUTH DAKOTA,POLIO,0,0.0,1928,01
36,TN,TENNESSEE,POLIO,1,0.04,1928,01
37,TX,TEXAS,POLIO,3,0.05,1928,01
38,UT,UTAH,POLIO,0,0.0,1928,01
39,VT,VERMONT,POLIO,0,0.0,1928,01
40,WA,WASHINGTON,POLIO,4,0.26,1928,01
41,WI,WISCONSIN,POLIO,1,0.03,1928,01
