,state,State Name,disease,Number of Rubella Cases,"Rubella Incidence Per 100,000 People",year,number_week
0,AL,ALABAMA,RUBELLA,7,0.2,1966,01
1,AZ,ARIZONA,RUBELLA,29,1.8,1966,01
2,CA,CALIFORNIA,RUBELLA,7,0.04,1966,01
3,CT,CONNECTICUT,RUBELLA,11,0.38,1966,01
4,HI,HAWAII,RUBELLA,1,0.14,1966,01
5,IA,IOWA,RUBELLA,6,0.22,1966,01
6,ID,IDAHO,RUBELLA,1,0.15,1966,01
7,IL,ILLINOIS,RUBELLA,17,0.16,1966,01
8,IN,INDIANA,RUBELLA,21,0.42,1966,01
9,KY,KENTUCKY,RUBELLA,14,0.44,1966,01
10,MA,MASSACHUSETTS,RUBELLA,10,0.18,1966,01
11,MD,MARYLAND,RUBELLA,6,0.16,1966,01
12,ME,MAINE,RUBELLA,4,0.4,1966,01
13,MI,MICHIGAN,RUBELLA,25,0.29,1966,01
14,MN,MINNESOTA,RUBELLA,2,0.06,1966,01
15,MO,MISSOURI,RUBELLA,1,0.02,1966,01
16,MT,MONTANA,RUBELLA,11,1.56,1966,01
17,ND,NORTH DAKOTA,RUBELLA,7,1.08,1966,01
18,NH,NEW HAMPSHIRE,RUBELLA,9,1.32,1966,01
19,OR,OREGON,RUBELLA,22,1.12,1966,01
20,PA,PENNSYLVANIA,RUBELLA,1,0.01,1966,01
21,RI,RHODE ISLAND,RUBELLA,6,0.67,1966,01
22,SC,SOUTH CAROLINA,RUBELLA,4,0.16,1966,01
23,TN,TENNESSEE,RUBELLA,23,0.6,1966,01
24,VA,VIRGINIA,RUBELLA,3,0.07,1966,01
25,VT,VERMONT,RUBELLA,2,0.48,1966,01
26,WA,WASHINGTON,RUBELLA,70,2.29,1966,01
27,WI,WISCONSIN,RUBELLA,40,0.94,1966,01
28,WV,WEST VIRGINIA,RUBELLA,23,1.3,1966,01
29,WY,WYOMING,RUBELLA,1,0.31,1966,01
30,AL,ALABAMA,RUBELLA,1,0.03,1966,02
31,AZ,ARIZONA,RUBELLA,53,3.28,1966,02
32,CA,CALIFORNIA,RUBELLA,43,0.23,1966,02
33,CO,COLORADO,RUBELLA,2,0.1,1966,02
34,CT,CONNECTICUT,RUBELLA,30,1.03,1966,02
35,HI,HAWAII,RUBELLA,4,0.56,1966,02
36,IA,IOWA,RUBELLA,34,1.23,1966,02
37,ID,IDAHO,RUBELLA,3,0.44,1966,02
38,IL,ILLINOIS,RUBELLA,81,0.75,1966,02
39,IN,INDIANA,RUBELLA,57,1.14,1966,02
40,KY,KENTUCKY,RUBELLA,17,0.54,1966,02
41,MA,MASSACHUSETTS,RUBELLA,20,0.36,1966,02
42,MD,MARYLAND,RUBELLA,5,0.14,1966,02
43,ME,MAINE,RUBELLA,8,0.8,1966,02
44,MI,MICHIGAN,RUBELLA,53,0.62,1966,02
45,MN,MINNESOTA,RUBELLA,7,0.19,1966,02
46,MO,MISSOURI,RUBELLA,2,0.04,1966,02
47,MT,MONTANA,RUBELLA,35,4.95,1966,02
48,ND,NORTH DAKOTA,RUBELLA,7,1.08,1966,02
49,NY,NEW YORK,RUBELLA,167,0.94,1966,02
50,OR,OREGON,RUBELLA,33,1.68,1966,02
51,RI,RHODE ISLAND,RUBELLA,3,0.33,1966,02
