,state,State Name,disease,Number of Smallpox Cases,"Smallpox Incidence Per 100,000 People",year,number_week
0,AL,ALABAMA,SMALLPOX,1,0.04,1928,01
1,AR,ARKANSAS,SMALLPOX,7,0.38,1928,01
2,AZ,ARIZONA,SMALLPOX,0,0.0,1928,01
3,CA,CALIFORNIA,SMALLPOX,18,0.34,1928,01
4,CO,COLORADO,SMALLPOX,31,3.06,1928,01
5,CT,CONNECTICUT,SMALLPOX,26,1.65,1928,01
6,DE,DELAWARE,SMALLPOX,0,0.0,1928,01
7,FL,FLORIDA,SMALLPOX,1,0.07,1928,01
8,GA,GEORGIA,SMALLPOX,0,0.0,1928,01
9,IA,IOWA,SMALLPOX,58,2.37,1928,01
10,ID,IDAHO,SMALLPOX,4,0.89,1928,01
11,IL,ILLINOIS,SMALLPOX,30,0.4,1928,01
12,IN,INDIANA,SMALLPOX,133,4.14,1928,01
13,KS,KANSAS,SMALLPOX,73,3.95,1928,01
14,KY,KENTUCKY,SMALLPOX,16,0.62,1928,01
15,LA,LOUISIANA,SMALLPOX,10,0.48,1928,01
16,MA,MASSACHUSETTS,SMALLPOX,0,0.0,1928,01
17,MD,MARYLAND,SMALLPOX,0,0.0,1928,01
18,ME,MAINE,SMALLPOX,0,0.0,1928,01
19,MI,MICHIGAN,SMALLPOX,17,0.36,1928,01
20,MN,MINNESOTA,SMALLPOX,2,0.08,1928,01
21,MO,MISSOURI,SMALLPOX,38,1.06,1928,01
22,MS,MISSISSIPPI,SMALLPOX,1,0.05,1928,01
23,MT,MONTANA,SMALLPOX,36,6.65,1928,01
24,NC,NORTH CAROLINA,SMALLPOX,63,2.04,1928,01
25,NE,NEBRASKA,SMALLPOX,12,0.88,1928,01
26,NJ,NEW JERSEY,SMALLPOX,3,0.08,1928,01
27,NM,NEW MEXICO,SMALLPOX,1,0.24,1928,01
28,NY,NEW YORK,SMALLPOX,4,0.03,1928,01
29,OH,OHIO,SMALLPOX,19,0.29,1928,01
30,OK,OKLAHOMA,SMALLPOX,108,4.61,1928,01
31,OR,OREGON,SMALLPOX,32,3.42,1928,01
32,PA,PENNSYLVANIA,SMALLPOX,1,0.01,1928,01
33,RI,RHODE ISLAND,SMALLPOX,0,0.0,1928,01
34,SC,SOUTH CAROLINA,SMALLPOX,19,1.09,1928,01
35,SD,SOUTH DAKOTA,SMALLPOX,6,0.88,1928,01
36,TN,TENNESSEE,SMALLPOX,5,0.19,1928,01
37,TX,TEXAS,SMALLPOX,29,0.51,1928,01
38,UT,UTAH,SMALLPOX,19,3.77,1928,01
39,VT,VERMONT,SMALLPOX,0,0.0,1928,01
40,WA,WASHINGTON,SMALLPOX,31,2.0,1928,01
41,WI,WISCONSIN,SMALLPOX,27,0.92,1928,01
42,WV,WEST VIRGINIA,SMALLPOX,11,0.65,1928,01
43,WY,WYOMING,SMALLPOX,5,2.27,1928,01
44,AL,ALABAMA,SMALLPOX,4,0.15,1928,02
45,AR,ARKANSAS,SMALLPOX,9,0.49,1928,02
46,AZ,ARIZONA,SMALLPOX,0,0.0,1928,02
47,CA,CALIFORNIA,SMALLPOX,22,0.41,1928,02
48,CO,COLORADO,SMALLPOX,18,1.78,1928,02
49,CT,CONNECTICUT,SMALLPOX,53,3.36,1928,02
50,DE,DELAWARE,SMALLPOX,0,0.0,1928,02
51,FL,FLORIDA,SMALLPOX,10,0.7,1928,02
52,GA,GEORGIA,SMALLPOX,0,0.0,1928,02
53,ID,IDAHO,SMALLPOX,11,2.45,1928,02
54,IL,ILLINOIS,SMALLPOX,25,0.33,1928,02
55,IN,INDIANA,SMALLPOX,125,3.89,1928,02
56,KS,KANSAS,SMALLPOX,125,6.76,1928,02
57,KY,KENTUCKY,SMALLPOX,27,1.05,1928,02
58,LA,LOUISIANA,SMALLPOX,11,0.53,1928,02
59,MA,MASSACHUSETTS,SMALLPOX,0,0.0,1928,02
60,MD,MARYLAND,SMALLPOX,0,0.0,1928,02
61,ME,MAINE,SMALLPOX,0,0.0,1928,02
62,MI,MICHIGAN,SMALLPOX,49,1.05,1928,02
63,MN,MINNESOTA,SMALLPOX,3,0.12,1928,02
64,MO,MISSOURI,SMALLPOX,51,1.42,1928,02
65,MS,MISSISSIPPI,SMALLPOX,7,0.35,1928,02
66,MT,MONTANA,SMALLPOX,27,4.99,1928,02
67,NC,NORTH CAROLINA,SMALLPOX,106,3.44,1928,02
68,ND,NORTH DAKOTA,SMALLPOX,6,0.9,1928,02
69,NE,NEBRASKA,SMALLPOX,44,3.21,1928,02
70,NJ,NEW JERSEY,SMALLPOX,0,0.0,1928,02
71,NM,NEW MEXICO,SMALLPOX,0,0.0,1928,02
72,NY,NEW YORK,SMALLPOX,18,0.16,1928,02
73,OK,OKLAHOMA,SMALLPOX,201,8.58,1928,02
74,OR,OREGON,SMALLPOX,49,5.24,1928,02
75,PA,PENNSYLVANIA,SMALLPOX,0,0.0,1928,02
76,RI,RHODE ISLAND,SMALLPOX,0,0.0,1928,02
77,SC,SOUTH CAROLINA,SMALLPOX,33,1.9,1928,02
78,SD,SOUTH DAKOTA,SMALLPOX,7,1.02,1928,02
79,TN,TENNESSEE,SMALLPOX,28,1.07,1928,02
80,TX,TEXAS,SMALLPOX,78,1.37,1928,02
81,UT,UTAH,SMALLPOX,33,6.55,1928,02
82,VT,VERMONT,SMALLPOX,0,0.0,1928,02
83,WA,WASHINGTON,SMALLPOX,70,4.51,1928,02
84,WI,WISCONSIN,SMALLPOX,27,0.92,1928,02
85,WV,WEST VIRGINIA,SMALLPOX,17,1.0,1928,02
86,WY,WYOMING,SMALLPOX,18,8.18,1928,02
87,AL,ALABAMA,SMALLPOX,8,0.3,1928,03
88,AR,ARKANSAS,SMALLPOX,14,0.76,1928,03
89,AZ,ARIZONA,SMALLPOX,0,0.0,1928,03
90,CA,CALIFORNIA,SMALLPOX,30,0.56,1928,03
91,CO,COLORADO,SMALLPOX,23,2.27,1928,03
92,CT,CONNECTICUT,SMALLPOX,20,1.27,1928,03
93,DE,DELAWARE,SMALLPOX,0,0.0,1928,03
94,FL,FLORIDA,SMALLPOX,7,0.49,1928,03
95,ID,IDAHO,SMALLPOX,3,0.67,1928,03
96,IL,ILLINOIS,SMALLPOX,27,0.36,1928,03
97,IN,INDIANA,SMALLPOX,120,3.74,1928,03
98,KS,KANSAS,SMALLPOX,74,4.0,1928,03
99,KY,KENTUCKY,SMALLPOX,28,1.09,1928,03
100,LA,LOUISIANA,SMALLPOX,20,0.97,1928,03
101,MA,MASSACHUSETTS,SMALLPOX,3,0.07,1928,03
102,MD,MARYLAND,SMALLPOX,0,0.0,1928,03
103,ME,MAINE,SMALLPOX,0,0.0,1928,03
104,MI,MICHIGAN,SMALLPOX,58,1.24,1928,03
105,MN,MINNESOTA,SMALLPOX,2,0.08,1928,03
106,MO,MISSOURI,SMALLPOX,51,1.42,1928,03
107,MS,MISSISSIPPI,SMALLPOX,15,0.76,1928,03
108,MT,MONTANA,SMALLPOX,32,5.91,1928,03
109,NC,NORTH CAROLINA,SMALLPOX,175,5.68,1928,03
110,ND,NORTH DAKOTA,SMALLPOX,5,0.75,1928,03
111,NE,NEBRASKA,SMALLPOX,37,2.7,1928,03
112,NJ,NEW JERSEY,SMALLPOX,0,0.0,1928,03
113,NM,NEW MEXICO,SMALLPOX,1,0.24,1928,03
114,NY,NEW YORK,SMALLPOX,9,0.08,1928,03
115,OH,OHIO,SMALLPOX,17,0.26,1928,03
116,OK,OKLAHOMA,SMALLPOX,142,6.06,1928,03
117,OR,OREGON,SMALLPOX,46,4.91,1928,03
118,PA,PENNSYLVANIA,SMALLPOX,0,0.0,1928,03
119,RI,RHODE ISLAND,SMALLPOX,0,0.0,1928,03
120,SC,SOUTH CAROLINA,SMALLPOX,15,0.86,1928,03
121,SD,SOUTH DAKOTA,SMALLPOX,10,1.46,1928,03
122,TN,TENNESSEE,SMALLPOX,21,0.8,1928,03
123,TX,TEXAS,SMALLPOX,23,0.41,1928,03
124,UT,UTAH,SMALLPOX,17,3.37,1928,03
125,VT,VERMONT,SMALLPOX,0,0.0,1928,03
126,WA,WASHINGTON,SMALLPOX,51,3.29,1928,03
127,WI,WISCONSIN,SMALLPOX,29,0.99,1928,03
128,WV,WEST VIRGINIA,SMALLPOX,26,1.53,1928,03
129,WY,WYOMING,SMALLPOX,2,0.91,1928,03
130,AL,ALABAMA,SMALLPOX,11,0.42,1928,04
131,AR,ARKANSAS,SMALLPOX,18,0.97,1928,04
132,AZ,ARIZONA,SMALLPOX,8,1.9,1928,04
133,CA,CALIFORNIA,SMALLPOX,27,0.51,1928,04
134,CO,COLORADO,SMALLPOX,18,1.78,1928,04
135,CT,CONNECTICUT,SMALLPOX,15,0.95,1928,04
136,DC,DISTRICT OF COLUMBIA,SMALLPOX,0,0.0,1928,04
137,DE,DELAWARE,SMALLPOX,0,0.0,1928,04
138,FL,FLORIDA,SMALLPOX,1,0.07,1928,04
139,GA,GEORGIA,SMALLPOX,0,0.0,1928,04
140,IA,IOWA,SMALLPOX,75,3.06,1928,04
141,ID,IDAHO,SMALLPOX,13,2.9,1928,04
142,IL,ILLINOIS,SMALLPOX,38,0.5,1928,04
143,IN,INDIANA,SMALLPOX,93,2.9,1928,04
144,KS,KANSAS,SMALLPOX,106,5.73,1928,04
145,KY,KENTUCKY,SMALLPOX,41,1.6,1928,04
146,LA,LOUISIANA,SMALLPOX,17,0.82,1928,04
